20B,0200,20C,0200,20B,0200,000,020B,0000,0100
20C,6235,20D,6235,235,222D,000,020C,DDD3,1000
20D,420A,20E,420A,20A,6209,000,020D,3FDC,0001
20E,E208,20F,E208,208,3FDC,000,020E,3FDC,0001,208,3FDC
20F,A233,210,A233,233,A230,000,020F,A230,1001
210,3208,211,3208,208,3FDC,000,4003,BFFC,1001
211,E208,212,E208,208,BFFC,000,0211,BFFC,1001,208,BFFC
212,0200,213,0200,212,0200,000,0212,0000,0101
213,422E,214,422E,22E,2208,000,0213,2208,0000
214,4208,215,4208,208,BFFC,000,0214,E204,1000
215,E208,216,E208,208,E204,000,0215,E204,1000,208,E204
216,A230,217,A230,230,4208,000,0216,4208,0000
217,2208,218,2208,208,E204,000,0217,4200,0000
218,E208,219,E208,208,4200,000,0218,4200,0000,208,4200
219,0200,21A,0200,219,0200,000,0219,0000,0100
21A,6209,21B,6209,209,E208,000,021A,1DF8,0000
21B,6208,21C,6208,208,4200,000,021B,DBF8,1000
21C,E208,21D,E208,208,DBF8,000,021C,DBF8,1000,208,DBF8
21D,A22F,21E,A22F,22F,E208,000,021D,E208,1000
21E,2208,21F,2208,208,DBF8,000,021E,C208,1000
21F,E208,220,E208,208,C208,000,021F,C208,1000,208,C208
220,0200,221,0200,220,0200,000,0220,0000,0100
221,6231,222,6231,231,A230,000,0221,5DD0,0000
222,4208,223,4208,208,C208,000,0222,1FD8,0001
223,E208,224,E208,208,1FD8,000,0223,1FD8,0001,208,1FD8
224,0200,225,0200,224,0200,000,0224,0000,0101
225,0280,226,0280,225,0280,000,0225,FFFF,1001
226,222D,227,222D,22D,222D,000,0226,222D,0001
227,2208,228,2208,208,1FD8,000,0227,0208,0001
228,E208,229,E208,208,0208,000,0228,0208,0001,208,0208
229,A232,22A,A232,232,2208,000,0229,2208,0001
22A,4208,22B,4208,208,0208,000,022A,2410,0000
22B,E234,22C,E234,234,2410,000,022B,2410,0000,234,2410
22C,0100,22D,0100,22C,0100,000,022C,2410,0000
22D,222D,22E,222D,22D,222D,000,022D,2000,0000
22E,2208,22F,2208,208,0208,000,022E,0000,0100
22F,E208,230,E208,208,0000,000,022F,0000,0100,208,0000
230,4208,231,4208,208,0000,000,0230,0000,0100
231,A230,232,A230,230,4208,000,0231,4208,0000
232,2208,233,2208,208,0000,000,0232,0000,0100
233,A230,234,A230,230,4208,000,0233,4208,0000
234,2410,235,2410,410,0000,000,0234,0000,0100
235,222D,236,222D,22D,222D,000,0235,0000,0100