<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
05/09/18,106550,106550,106040,106270
05/09/18,106270,106270,106170,106210
05/09/18,106300,106300,106250,106250
05/09/18,106250,106250,106250,106250
05/09/18,106160,106160,106110,106110
05/09/18,106230,106240,106200,106200
05/09/18,106260,106260,106210,106210
05/09/18,106300,106300,106280,106280
05/09/18,106200,106210,106200,106210
05/09/18,106250,106250,106170,106180
05/09/18,106250,106250,106180,106180
05/09/18,106200,106200,106200,106200
05/09/18,106190,106190,106170,106170
05/09/18,106160,106160,106160,106160
05/09/18,106190,106260,106190,106260
05/09/18,106220,106240,106220,106240
05/09/18,106280,106350,106280,106350
05/09/18,106400,106400,106400,106400
05/09/18,106250,106260,106250,106260
05/09/18,106250,106250,106240,106240
05/09/18,106210,106210,106210,106210
05/09/18,106300,106300,106300,106300
05/09/18,106370,106370,106370,106370
05/09/18,106400,106400,106400,106400
05/09/18,106350,106350,106350,106350
05/09/18,106380,106380,106380,106380
05/09/18,106430,106470,106430,106470
05/09/18,106410,106410,106410,106410
05/09/18,106380,106380,106380,106380
05/09/18,106380,106380,106380,106380
05/09/18,106330,106330,106330,106330
05/09/18,106360,106360,106350,106350
05/09/18,106450,106450,106450,106450
05/09/18,106550,106550,106550,106550
05/09/18,106450,106450,106450,106450
05/09/18,106600,106600,106600,106600
05/09/18,106590,106590,106590,106590
05/09/18,106530,106530,106530,106530
05/09/18,106420,106420,106400,106400
05/09/18,106350,106350,106350,106350
05/09/18,106330,106330,106330,106330
05/09/18,106320,106350,106280,106350
05/09/18,106250,106250,106250,106250
05/09/18,106270,106270,106270,106270
05/09/18,106240,106240,106230,106230
05/09/18,106280,106280,106280,106280
05/09/18,106400,106400,106400,106400
05/09/18,106450,106450,106390,106390
05/09/18,106500,106500,106500,106500
05/09/18,106400,106400,106400,106400
05/09/18,106390,106390,106390,106390
05/09/18,106430,106430,106430,106430
05/09/18,106430,106430,106430,106430
05/09/18,106490,106490,106490,106490
05/09/18,106380,106380,106380,106380
05/09/18,106340,106340,106340,106340
05/09/18,106350,106350,106350,106350
05/09/18,106400,106400,106400,106400
05/09/18,106480,106480,106480,106480
05/09/18,106460,106500,106460,106500
05/09/18,106550,106550,106550,106550
05/09/18,106560,106560,106560,106560
05/09/18,106590,106590,106590,106590
05/09/18,106630,106700,106630,106700
05/09/18,106650,106650,106640,106640
05/09/18,106640,106640,106640,106640
05/09/18,106700,106700,106700,106700
05/09/18,106700,106700,106700,106700
05/09/18,106700,106800,106700,106780
05/09/18,106750,106790,106750,106790
05/09/18,106810,106820,106810,106820
05/09/18,106830,106850,106830,106850
05/09/18,106850,106860,106850,106860
05/09/18,106860,106890,106860,106870
05/09/18,106860,106870,106830,106830
05/09/18,106850,106870,106850,106870
05/09/18,106880,106880,106830,106830
05/09/18,106860,106860,106850,106850
05/09/18,106810,106810,106810,106810
05/09/18,106780,106780,106780,106780
05/09/18,106770,106770,106770,106770
05/09/18,106700,106720,106700,106720
05/09/18,106640,106640,106600,106600
05/09/18,106560,106560,106550,106550
05/09/18,106570,106570,106570,106570
05/09/18,106560,106560,106560,106560
05/09/18,106600,106600,106590,106600
05/09/18,106600,106600,106600,106600
05/09/18,106570,106570,106570,106570
05/09/18,106540,106540,106520,106520
05/09/18,106550,106550,106550,106550
05/09/18,106570,106570,106570,106570
05/09/18,106550,106550,106490,106490
05/09/18,106600,106620,106600,106620
05/09/18,106590,106590,106590,106590
05/09/18,106640,106640,106640,106640
05/09/18,106570,106570,106570,106570
05/09/18,106570,106570,106570,106570
05/09/18,106500,106500,106400,106400
05/09/18,106340,106340,106300,106300
05/09/18,106290,106320,106260,106320
05/09/18,106310,106310,106310,106310
05/09/18,106310,106380,106310,106380
05/09/18,106390,106390,106390,106390
05/09/18,106300,106300,106300,106300
05/09/18,106450,106450,106450,106450
05/09/18,106430,106430,106430,106430
05/09/18,106430,106430,106430,106430
05/09/18,106450,106450,106450,106450
05/09/18,106470,106470,106470,106470
05/09/18,106530,106530,106530,106530
05/09/18,106550,106550,106550,106550
05/09/18,106500,106500,106500,106500
05/09/18,106550,106550,106550,106550
05/09/18,106550,106550,106550,106550
05/09/18,106650,106760,106650,106760
05/09/18,106620,106620,106610,106610
05/09/18,106710,106710,106710,106710
05/09/18,106550,106550,106550,106550
05/09/18,106620,106620,106620,106620
05/09/18,106660,106660,106660,106660
05/09/18,106700,106700,106700,106700
05/09/18,106700,106700,106700,106700
05/09/18,106630,106630,106630,106630
05/09/18,106670,106670,106670,106670
05/09/18,106600,106680,106600,106620
05/09/18,106700,106730,106700,106730
05/09/18,106550,106550,106550,106550
05/09/18,106500,106500,106500,106500
05/09/18,106520,106520,106520,106520
05/09/18,106560,106570,106560,106570
05/09/18,106700,106700,106700,106700
05/09/18,106590,106590,106590,106590
05/09/18,106550,106550,106540,106540
05/09/18,106620,106620,106620,106620
05/09/18,106620,106620,106610,106610
05/09/18,106580,106580,106580,106580
05/09/18,106650,106650,106650,106650
05/09/18,106700,106700,106700,106700
05/09/18,106760,106760,106760,106760
05/09/18,106840,106850,106840,106850
05/09/18,106800,106800,106790,106790
05/09/18,106830,106850,106830,106840
05/09/18,106760,106760,106710,106720
05/09/18,106740,106740,106740,106740
05/09/18,106740,106750,106700,106710
05/09/18,106600,106610,106600,106610
05/09/18,106600,106600,106550,106550
05/09/18,106490,106500,106480,106500
05/09/18,106520,106520,106520,106520
05/09/18,106520,106520,106510,106510
05/09/18,106570,106570,106570,106570
05/09/18,106580,106580,106580,106580
05/09/18,106510,106510,106510,106510
05/09/18,106700,106700,106700,106700
05/09/18,106600,106600,106600,106600
05/09/18,106550,106550,106550,106550
05/09/18,106460,106460,106400,106400
05/09/18,106370,106370,106360,106360
05/09/18,106280,106280,106270,106270
05/09/18,106260,106260,106260,106260
05/09/18,106480,106480,106480,106480
05/09/18,106320,106320,106320,106320
05/09/18,106340,106340,106340,106340
05/09/18,106350,106350,106350,106350
05/09/18,106340,106350,106270,106270
05/09/18,106250,106250,106250,106250
05/09/18,106370,106370,106370,106370
05/09/18,106350,106350,106350,106350
05/09/18,106360,106360,106360,106360
05/09/18,106400,106400,106400,106400
05/09/18,106360,106360,106360,106360
05/09/18,106330,106330,106330,106330
05/09/18,106340,106340,106340,106340
05/09/18,106300,106320,106300,106320
05/09/18,106300,106300,106250,106250
05/09/18,106200,106200,106190,106190
05/09/18,106240,106240,106240,106240
05/09/18,106170,106240,106160,106240
05/09/18,106240,106240,106240,106240
05/09/18,106370,106400,106370,106390
05/09/18,106250,106250,106240,106240
05/09/18,106350,106360,106350,106360
05/09/18,106400,106400,106400,106400
05/09/18,106400,106400,106400,106400
05/09/18,106410,106410,106400,106400
05/09/18,106380,106380,106350,106350
05/09/18,106340,106340,106340,106340
05/09/18,106300,106300,106280,106290
05/09/18,106250,106250,106250,106250
05/09/18,106160,106160,106110,106110
05/09/18,106180,106180,106180,106180
05/09/18,106110,106110,106020,106050
05/09/18,106100,106120,106100,106110
05/09/18,106250,106290,106250,106290
05/09/18,106250,106250,106250,106250
05/09/18,106240,106240,106240,106240
05/09/18,106180,106180,106180,106180
05/09/18,106210,106210,106200,106200
05/09/18,106300,106300,106290,106290
05/09/18,106220,106220,106220,106220
05/09/18,106400,106400,106400,106400
05/09/18,106440,106480,106400,106400
05/09/18,106360,106360,106360,106360
05/09/18,106360,106360,106360,106360
05/09/18,106370,106370,106370,106370
05/09/18,106400,106400,106400,106400
05/09/18,106400,106400,106400,106400
05/09/18,106410,106410,106410,106410
05/09/18,106400,106400,106400,106400
05/09/18,106270,106270,106250,106250
05/09/18,106260,106260,106260,106260
05/09/18,106200,106230,106200,106230
05/09/18,106230,106230,106230,106230
05/09/18,106290,106290,106290,106290
05/09/18,106360,106360,106360,106360
05/09/18,106320,106320,106320,106320
05/09/18,106380,106400,106380,106400
05/09/18,106340,106340,106340,106340
05/09/18,106350,106350,106350,106350
05/09/18,106420,106420,106420,106420
05/09/18,106410,106410,106410,106410
05/09/18,106440,106520,106440,106520
05/09/18,106520,106520,106520,106520
05/09/18,106420,106420,106420,106420
05/09/18,106340,106340,106340,106340
05/09/18,106390,106390,106360,106360
05/09/18,106250,106250,106250,106250
05/09/18,106280,106280,106280,106280
05/09/18,106300,106300,106300,106300
05/10/18,114310,115030,114310,114980
05/10/18,114980,115120,114880,114950
05/10/18,114960,115000,114820,114880
05/10/18,114880,114910,114790,114830
05/10/18,114850,114920,114810,114920
05/10/18,114920,114930,114810,114810
05/10/18,114810,114890,114800,114820
05/10/18,114820,114900,114810,114880
05/10/18,114890,114920,114860,114920
05/10/18,114920,114950,114890,114890
05/10/18,114890,115000,114880,114960
05/10/18,114960,115000,114920,114920
05/10/18,114930,114930,114880,114890
05/10/18,114880,114950,114880,114940
05/10/18,114950,115000,114940,114990
05/10/18,114980,115160,114970,115140
05/10/18,115150,115320,115150,115280
05/10/18,115290,115330,115200,115330
05/10/18,115320,115360,115230,115290
05/10/18,115280,115290,115190,115270
05/10/18,115280,115310,115220,115260
05/10/18,115260,115310,115220,115300
05/10/18,115300,115360,115240,115260
05/10/18,115250,115270,115160,115180
05/10/18,115190,115220,115170,115180
05/10/18,115180,115370,115180,115370
05/10/18,115370,115380,115290,115350
05/10/18,115350,115390,115300,115370
05/10/18,115370,115550,115340,115500
05/10/18,115490,115600,115450,115590
05/10/18,115570,115660,115560,115570
05/10/18,115560,115640,115540,115620
05/10/18,115620,115680,115550,115580
05/10/18,115560,115570,115450,115500
05/10/18,115490,115530,115460,115530
05/10/18,115510,115600,115480,115540
05/10/18,115550,115590,115420,115420
05/10/18,115420,115480,115290,115310
05/10/18,115310,115370,115280,115280
05/10/18,115280,115390,115280,115320
05/10/18,115340,115430,115330,115380
05/10/18,115400,115450,115370,115430
05/10/18,115430,115440,115360,115410
05/10/18,115410,115480,115410,115450
05/10/18,115440,115490,115380,115380
05/10/18,115380,115550,115380,115500
05/10/18,115510,115520,115420,115440
05/10/18,115440,115470,115310,115330
05/10/18,115330,115470,115290,115460
05/10/18,115440,115520,115410,115480
05/10/18,115460,115480,115360,115410
05/10/18,115420,115480,115390,115400
05/10/18,115400,115400,115290,115310
05/10/18,115310,115360,115220,115280
05/10/18,115280,115300,115180,115190
05/10/18,115190,115260,115190,115190
05/10/18,115190,115210,115160,115180
05/10/18,115210,115300,115210,115270
05/10/18,115270,115290,115200,115200
05/10/18,115220,115290,115200,115220
05/10/18,115240,115260,115160,115160
05/10/18,115160,115200,115130,115140
05/10/18,115140,115170,115120,115130
05/10/18,115140,115140,115000,115010
05/10/18,115020,115050,114990,115030
05/10/18,115020,115180,115000,115090
05/10/18,115110,115210,115090,115180
05/10/18,115190,115290,115130,115130
05/10/18,115130,115200,115130,115200
05/10/18,115200,115250,115170,115240
05/10/18,115240,115280,115180,115250
05/10/18,115230,115360,115230,115280
05/10/18,115280,115350,115260,115320
05/10/18,115320,115350,115290,115320
05/10/18,115330,115340,115240,115280
05/10/18,115290,115330,115250,115270
05/10/18,115270,115330,115260,115290
05/10/18,115300,115300,115250,115260
05/10/18,115260,115300,115250,115280
05/10/18,115280,115310,115260,115270
05/10/18,115280,115300,115230,115230
05/10/18,115230,115240,115140,115210
05/10/18,115200,115220,115130,115190
05/10/18,115200,115220,115170,115190
05/10/18,115190,115200,115160,115180
05/10/18,115180,115180,115090,115130
05/10/18,115140,115150,115080,115120
05/10/18,115110,115120,114890,114940
05/10/18,114940,114940,114720,114800
05/10/18,114800,114870,114790,114800
05/10/18,114810,114850,114790,114800
05/10/18,114800,114810,114730,114790
05/10/18,114800,114810,114710,114800
05/10/18,114800,114820,114750,114810
05/10/18,114810,114840,114730,114740
05/10/18,114740,114800,114620,114650
05/10/18,114660,114660,114550,114580
05/10/18,114570,114590,114430,114440
05/10/18,114440,114530,114430,114520
05/10/18,114500,114510,114450,114470
05/10/18,114460,114500,114390,114480
05/10/18,114470,114540,114470,114520
05/10/18,114530,114580,114510,114560
05/10/18,114570,114610,114470,114480
05/10/18,114480,114530,114440,114470
05/10/18,114460,114480,114350,114350
05/10/18,114360,114380,114250,114310
05/10/18,114310,114430,114300,114400
05/10/18,114410,114430,114340,114390
05/10/18,114400,114410,114350,114410
05/10/18,114420,114570,114390,114510
05/10/18,114510,114520,114440,114500
05/10/18,114490,114520,114440,114490
05/10/18,114500,114530,114470,114480
05/10/18,114470,114520,114470,114480
05/10/18,114470,114500,114400,114440
05/10/18,114440,114500,114430,114490
05/10/18,114480,114480,114440,114450
05/10/18,114450,114480,114430,114480
05/10/18,114490,114530,114430,114480
05/10/18,114470,114690,114460,114670
05/10/18,114670,114670,114600,114610
05/10/18,114630,114690,114610,114660
05/10/18,114670,114680,114610,114610
05/10/18,114620,114630,114570,114600
05/10/18,114600,114720,114600,114690
05/10/18,114700,114810,114690,114790
05/10/18,114780,114850,114750,114850
05/10/18,114850,114900,114770,114870
05/10/18,114880,114960,114860,114880
05/10/18,114890,114940,114850,114930
05/10/18,114930,114970,114900,114900
05/10/18,114900,114960,114860,114950
05/10/18,114960,115000,114940,114950
05/10/18,114960,114960,114860,114900
05/10/18,114890,114900,114810,114830
05/10/18,114830,114890,114800,114880
05/10/18,114880,114970,114860,114970
05/10/18,114970,115090,114950,114950
05/10/18,114950,114970,114860,114880
05/10/18,114860,114990,114860,114960
05/10/18,114960,115000,114940,114960
05/10/18,114970,114990,114920,114920
05/10/18,114920,114960,114880,114910
05/10/18,114920,114930,114780,114780
05/10/18,114780,114820,114700,114800
05/10/18,114800,114910,114800,114910
05/10/18,114890,115090,114880,115060
05/10/18,115060,115110,114970,115110
05/10/18,115120,115170,115070,115120
05/10/18,115110,115180,115060,115170
05/10/18,115170,115280,115150,115190
05/10/18,115190,115190,115150,115180
05/10/18,115180,115180,115100,115120
05/10/18,115110,115170,115060,115120
05/10/18,115130,115170,115090,115130
05/10/18,115130,115130,115030,115050
05/10/18,115060,115100,115040,115100
05/10/18,115100,115140,115090,115120
05/10/18,115110,115140,115070,115110
05/10/18,115130,115130,115060,115130
05/10/18,115130,115170,115120,115150
05/10/18,115160,115180,115100,115160
05/10/18,115170,115200,115080,115080
05/10/18,115090,115190,115060,115120
05/10/18,115120,115130,115040,115040
05/10/18,115040,115050,114860,114910
05/10/18,114920,114990,114890,114960
05/10/18,114970,115000,114930,114970
05/10/18,114970,114990,114890,114930
05/10/18,114940,114960,114830,114890
05/10/18,114870,114910,114840,114860
05/10/18,114850,114880,114780,114780
05/10/18,114800,114800,114360,114370
05/10/18,114370,114630,114340,114500
05/10/18,114500,114670,114490,114610
05/10/18,114600,114690,114590,114660
05/10/18,114650,114700,114570,114670
05/10/18,114660,114670,114610,114670
05/10/18,114670,114700,114640,114650
05/10/18,114640,114950,114630,114840
05/10/18,114830,114930,114830,114900
05/10/18,114900,114920,114850,114880
05/10/18,114880,114930,114810,114910
05/10/18,114910,114950,114870,114870
05/10/18,114870,114900,114830,114850
05/10/18,114850,114870,114800,114840
05/10/18,114820,114820,114690,114740
05/10/18,114740,114740,114640,114700
05/10/18,114700,114780,114700,114760
05/10/18,114760,114790,114710,114730
05/10/18,114740,114770,114650,114720
05/10/18,114730,114730,114570,114600
05/10/18,114600,114630,114570,114600
05/10/18,114600,114650,114580,114620
05/10/18,114630,114680,114610,114640
05/10/18,114640,114640,114540,114570
05/10/18,114580,114580,114510,114530
05/10/18,114530,114550,114500,114550
05/10/18,114530,114580,114500,114560
05/10/18,114570,114570,114500,114520
05/10/18,114510,114640,114460,114590
05/10/18,114590,114600,114560,114600
05/10/18,114590,114640,114580,114640
05/10/18,114650,114740,114630,114730
05/10/18,114720,114760,114700,114710
05/10/18,114720,114750,114720,114730
05/10/18,114730,114770,114710,114710
05/10/18,114710,114730,114680,114720
05/10/18,114710,114770,114700,114770
05/10/18,114760,114780,114720,114750
05/10/18,114750,114760,114670,114710
05/10/18,114720,114810,114720,114760
05/10/18,114770,114800,114770,114780
05/10/18,114790,114830,114730,114750
05/10/18,114750,114780,114660,114730
05/10/18,114720,114730,114670,114710
05/10/18,114700,114760,114680,114750
05/10/18,114740,114750,114700,114730
05/10/18,114750,114760,114710,114710
05/10/18,114710,114720,114680,114720
05/10/18,114720,114790,114720,114780
05/10/18,114790,114800,114760,114760
05/10/18,114750,114750,114690,114740
05/10/18,114740,114820,114720,114790
05/10/18,114790,114800,114720,114740
05/10/18,114740,114760,114700,114700
05/10/18,114700,114760,114700,114740
05/10/18,114750,114770,114720,114730
05/10/18,114750,114800,114730,114790
05/10/18,114800,114800,114780,114800
05/10/18,114790,114880,114790,114820
05/10/18,114830,114880,114810,114840
05/10/18,114830,114930,114830,114920
05/10/18,114920,115040,114900,114910
05/10/18,114890,114960,114880,114930
05/10/18,114920,114920,114860,114860
05/10/18,114860,114880,114810,114830
05/10/18,114830,114840,114720,114720
05/10/18,114730,114880,114730,114870
05/10/18,114850,114890,114740,114740
05/10/18,114750,114760,114670,114670
05/10/18,114680,114690,114520,114600
05/10/18,114610,114650,114570,114640
05/10/18,114640,114660,114570,114580
05/10/18,114580,114750,114580,114740
05/10/18,114730,114740,114700,114720
05/10/18,114720,114790,114720,114790
05/10/18,114780,114800,114720,114740
05/10/18,114740,114780,114740,114770
05/10/18,114760,114850,114760,114820
05/10/18,114820,114830,114790,114830
05/10/18,114830,114920,114830,114890
05/10/18,114890,114930,114860,114930
05/10/18,114910,114910,114790,114790
05/10/18,114810,114860,114790,114860
05/10/18,114860,114880,114820,114850
05/10/18,114860,114860,114750,114760
05/10/18,114760,114790,114720,114740
05/10/18,114760,114790,114740,114780
05/10/18,114790,114830,114790,114810
05/10/18,114820,114930,114820,114890
05/10/18,114900,114950,114890,114890
05/10/18,114890,114910,114860,114900
05/10/18,114890,114970,114880,114950
05/10/18,114930,115020,114930,115010
05/10/18,115010,115160,115010,115130
05/10/18,115140,115190,115130,115150
05/10/18,115150,115180,115080,115120
05/10/18,115130,115150,115070,115080
05/10/18,115090,115130,115070,115080
05/10/18,115070,115080,114990,115010
05/10/18,115000,115060,114970,115020
05/10/18,115020,115040,115010,115010
05/10/18,115010,115030,114980,114980
05/10/18,114980,115060,114980,115040
05/10/18,115040,115190,115040,115180
05/10/18,115180,115280,115170,115260
05/10/18,115260,115380,115250,115300
05/10/18,115310,115360,115270,115280
05/10/18,115270,115300,115220,115230
05/10/18,115240,115280,115210,115230
05/10/18,115220,115270,115220,115250
05/10/18,115240,115350,115220,115340
05/10/18,115340,115440,115330,115430
05/10/18,115420,115440,115310,115350
05/10/18,115350,115360,115320,115340
05/10/18,115350,115380,115320,115380
05/10/18,115370,115430,115350,115410
05/10/18,115410,115480,115410,115440
05/10/18,115450,115560,115450,115540
05/10/18,115540,115550,115470,115510
05/10/18,115500,115530,115490,115500
05/10/18,115510,115550,115490,115520
05/10/18,115520,115760,115510,115690
05/10/18,115680,115730,115440,115490
05/10/18,115490,115610,115490,115520
05/10/18,115530,115550,115460,115490
05/10/18,115490,115500,115330,115400
05/10/18,115410,115500,115410,115450
05/10/18,115440,115510,115430,115490
05/10/18,115480,115510,115450,115470
05/10/18,115470,115480,115350,115370
05/10/18,115370,115380,115270,115300
05/10/18,115300,115330,115270,115310
05/10/18,115300,115400,115290,115400
05/10/18,115380,115540,115360,115530
05/10/18,115540,115580,115430,115430
05/10/18,115430,115450,115370,115380
05/10/18,115380,115450,115360,115430
05/10/18,115430,115490,115380,115440
05/10/18,115440,115460,115380,115400
05/10/18,115400,115420,115360,115380
05/10/18,115370,115430,115370,115400
05/10/18,115400,115460,115390,115450
05/10/18,115440,115480,115350,115350
05/10/18,115350,115390,115310,115360
05/10/18,115350,115410,115350,115400
05/10/18,115400,115460,115330,115380
05/10/18,115370,115400,115320,115340
05/10/18,115320,115350,115160,115190
05/10/18,115200,115210,115190,115200
05/10/18,115190,115240,115180,115240
05/10/18,115240,115240,115170,115210
05/10/18,115200,115260,115170,115230
05/10/18,115230,115670,115200,115640
05/10/18,115640,115640,115520,115570
05/10/18,115560,115640,115540,115540
05/10/18,115540,115540,115270,115280
05/10/18,115280,115300,115120,115120
05/10/18,115140,115360,115120,115260
05/10/18,115250,115300,115090,115100
05/10/18,115090,115220,115040,115050
05/10/18,115050,115100,114930,114940
05/10/18,114940,115030,114880,115020
05/10/18,115020,115220,115010,115130
05/10/18,115130,115140,115000,115040
05/10/18,115030,115110,115000,115070
05/10/18,115050,115140,115020,115070
05/10/18,115070,115150,115050,115100
05/10/18,115090,115170,115080,115150
05/10/18,115170,115200,115130,115190
05/10/18,115170,115190,115080,115120
05/10/18,115110,115160,115100,115100
05/10/18,115090,115150,115080,115130
05/10/18,115130,115220,115110,115200
05/10/18,115200,115340,115180,115290
05/10/18,115290,115310,115230,115280
05/10/18,115280,115380,115270,115350
05/10/18,115350,115350,115260,115280
05/10/18,115290,115340,115290,115340
05/10/18,115340,115390,115300,115390
05/10/18,115380,115450,115360,115390
05/10/18,115400,115430,115340,115350
05/10/18,115360,115380,115310,115320
05/10/18,115340,115390,115310,115340
05/10/18,115350,115390,115330,115350
05/10/18,115360,115370,115330,115340
05/10/18,115330,115370,115310,115340
05/10/18,115320,115390,115320,115380
05/10/18,115380,115430,115380,115430
05/10/18,115430,115430,115310,115380
05/10/18,115370,115370,115310,115320
05/10/18,115310,115340,115280,115290
05/10/18,115290,115320,115260,115270
05/10/18,115280,115370,115280,115370
05/10/18,115360,115420,115350,115380
05/10/18,115360,115380,115280,115350
05/10/18,115360,115430,115340,115400
05/10/18,115400,115470,115400,115460
05/10/18,115450,115600,115450,115490
05/10/18,115470,115520,115400,115500
05/10/18,115510,115510,115470,115490
05/10/18,115470,115500,115440,115470
05/10/18,115480,115530,115480,115510
05/10/18,115500,115540,115490,115530
05/10/18,115540,115590,115440,115440
05/10/18,115440,115460,115390,115410
05/10/18,115410,115430,115350,115380
05/10/18,115390,115500,115390,115450
05/10/18,115450,115480,115430,115440
05/10/18,115450,115480,115450,115470
05/10/18,115480,115580,115470,115560
05/10/18,115560,115670,115560,115570
05/10/18,115570,115610,115570,115610
05/10/18,115610,115630,115480,115600
